PERMNO,DATE,n,RET,b_mkt,alpha,ivol,tvol,R2,exret
10363,1/7/2005,246,8.21%,0.7311,0.0063,10.01%,10.22%,4.15%,10.13%
10363,1/14/2005,247,-3.64%,0.731,0.0062,9.99%,10.20%,4.15%,-3.69%
10363,1/21/2005,248,3.54%,0.7285,0.0063,9.97%,10.18%,4.12%,4.48%
10363,1/28/2005,249,-0.12%,0.7283,0.0063,9.95%,10.16%,4.12%,-0.34%
10371,1/7/2005,246,-4.14%,0.9456,0.0063,9.06%,9.46%,8.12%,-1.69%
10371,1/14/2005,247,9.37%,0.9458,0.0066,9.06%,9.45%,8.09%,9.33%
10371,1/21/2005,248,-1.68%,0.9465,0.0066,9.04%,9.44%,8.11%,-0.45%
10371,1/28/2005,249,2.65%,0.9468,0.0066,9.03%,9.42%,8.12%,2.37%
10375,1/7/2005,246,-5.51%,0.7146,0.0057,3.59%,4.13%,24.36%,-3.68%
10375,1/14/2005,247,-4.51%,0.7145,0.0055,3.60%,4.13%,24.21%,-4.55%
10375,1/21/2005,248,-1.17%,0.715,0.0055,3.59%,4.12%,24.24%,-0.25%
10375,1/28/2005,249,-1.85%,0.7146,0.0054,3.58%,4.12%,24.19%,-2.07%
10382,1/7/2005,246,-4.07%,1.1097,0.002,8.16%,8.75%,13.05%,-1.18%
10382,1/14/2005,247,1.21%,1.1097,0.0021,8.15%,8.74%,13.04%,1.17%
10382,1/21/2005,248,2.21%,1.1075,0.0022,8.13%,8.72%,13.00%,3.66%
10382,1/28/2005,249,0.70%,1.1075,0.0022,8.12%,8.70%,13.00%,0.39%
10383,1/7/2005,246,-6.77%,1.9767,-0.0017,13.32%,14.46%,15.17%,-1.60%
10383,1/14/2005,247,1.12%,1.9768,-0.0017,13.30%,14.44%,15.17%,1.08%
10383,1/21/2005,248,-3.31%,1.9771,-0.0017,13.27%,14.41%,15.18%,-0.71%
10383,1/28/2005,249,1.43%,1.9773,-0.0016,13.24%,14.38%,15.18%,0.90%
10395,1/7/2005,246,-1.96%,0.2045,0.0049,4.75%,4.78%,1.48%,-1.47%
10395,1/14/2005,247,1.39%,0.2045,0.005,4.74%,4.77%,1.48%,1.35%
10395,1/21/2005,248,-0.27%,0.2048,0.005,4.73%,4.76%,1.49%,-0.03%
10395,1/28/2005,249,-1.37%,0.2046,0.0049,4.72%,4.76%,1.49%,-1.46%
10397,1/7/2005,246,-5.72%,0.7803,0.0055,5.38%,5.82%,14.59%,-3.72%
10397,1/14/2005,247,0.80%,0.7803,0.0055,5.37%,5.81%,14.59%,0.76%
10397,1/21/2005,248,-2.89%,0.7818,0.0054,5.36%,5.80%,14.64%,-1.88%
10397,1/28/2005,249,1.53%,0.7819,0.0055,5.35%,5.79%,14.64%,1.30%
10401,1/7/2005,246,-1.42%,0.9057,-0.0033,5.52%,6.10%,17.93%,0.94%
10401,1/14/2005,247,-0.64%,0.9056,-0.0033,5.51%,6.08%,17.93%,-0.68%
10401,1/21/2005,248,-3.16%,0.9067,-0.0034,5.50%,6.07%,17.97%,-1.98%
10401,1/28/2005,249,9.02%,0.908,-0.003,5.52%,6.09%,17.85%,8.75%
10404,1/7/2005,246,-15.57%,0.9708,0.0036,7.39%,7.89%,12.29%,-13.10%
10404,1/14/2005,247,-4.74%,0.9707,0.0034,7.38%,7.88%,12.26%,-4.78%
10404,1/21/2005,248,-8.53%,0.9756,0.0031,7.38%,7.89%,12.33%,-7.26%
10404,1/28/2005,249,-5.05%,0.9748,0.0029,7.38%,7.88%,12.29%,-5.33%
10421,1/7/2005,246,-12.66%,1.4388,0.0054,7.83%,8.84%,21.50%,-8.94%
10421,1/14/2005,247,0.11%,1.4388,0.0053,7.82%,8.82%,21.50%,0.07%
10421,1/21/2005,248,-5.36%,1.4414,0.0052,7.81%,8.81%,21.55%,-3.47%
10421,1/28/2005,249,0.42%,1.4413,0.0052,7.79%,8.80%,21.55%,0.03%
10443,1/7/2005,246,-1.11%,0.0611,0.0037,6.09%,6.09%,0.08%,-0.99%
10443,1/14/2005,247,-0.30%,0.0611,0.0037,6.08%,6.08%,0.08%,-0.34%
10443,1/21/2005,248,-4.19%,0.064,0.0035,6.07%,6.07%,0.09%,-4.14%
10443,1/28/2005,249,10.57%,0.0655,0.0039,6.09%,6.09%,0.09%,10.51%
10453,1/7/2005,246,0.43%,0.1127,0.0013,5.25%,5.26%,0.37%,0.69%
10453,1/14/2005,247,2.34%,0.1128,0.0014,5.24%,5.25%,0.37%,2.30%
10453,1/21/2005,248,0.60%,0.1124,0.0014,5.23%,5.24%,0.37%,0.72%
10453,1/28/2005,249,-2.10%,0.112,0.0013,5.22%,5.23%,0.37%,-2.16%
10463,1/7/2005,246,-4.23%,1.6245,-0.0017,9.56%,10.62%,19.00%,0.02%
10463,1/14/2005,247,-1.64%,1.6245,-0.0017,9.54%,10.60%,19.00%,-1.68%
10463,1/21/2005,248,-0.17%,1.6231,-0.0016,9.52%,10.58%,18.98%,1.97%
10463,1/28/2005,249,1.33%,1.6232,-0.0016,9.50%,10.56%,18.99%,0.89%
10488,1/7/2005,246,-8.94%,0.6335,0.006,7.46%,7.67%,5.53%,-7.34%
10488,1/14/2005,247,1.12%,0.6335,0.006,7.44%,7.66%,5.53%,1.08%
10488,1/21/2005,248,-2.06%,0.6347,0.006,7.43%,7.64%,5.56%,-1.25%
10488,1/28/2005,249,-0.75%,0.6345,0.0059,7.41%,7.63%,5.55%,-0.95%
10501,1/7/2005,246,-3.62%,0.9156,0.0091,6.07%,6.61%,15.58%,-1.25%
